Model loaded in 0.2486886978149414 seconds
data num: 1000000
Encoded trajectory loaded, time: 81.11007499694824
data num: 1000
Encoded trajectory loaded, time: 0.12673735618591309
Data loaded in 81.33220791816711 seconds
start training from iteration 0
Iteration 37500     |  Loss: 0.73366654  |  Test Loss: 0.75253922  |  Test Acc: 66.39%   |  Error Rate: 2.40%    |  Real True Rate: 25.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.67%  |  Length 110% rate: 38.22%   |
Iteration 38000     |  Loss: 0.76898903  |  Test Loss: 0.74962497  |  Test Acc: 66.17%   |  Error Rate: 1.40%    |  Real True Rate: 25.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.61%  |  Length 110% rate: 36.71%   |
Iteration 38500     |  Loss: 0.76910257  |  Test Loss: 0.75006205  |  Test Acc: 66.23%   |  Error Rate: 1.80%    |  Real True Rate: 24.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.65%  |  Length 110% rate: 36.05%   |
Iteration 39000     |  Loss: 0.74912488  |  Test Loss: 0.74745363  |  Test Acc: 66.04%   |  Error Rate: 1.80%    |  Real True Rate: 25.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.53%  |  Length 110% rate: 37.78%   |
Iteration 39500     |  Loss: 0.73141408  |  Test Loss: 0.74899137  |  Test Acc: 65.99%   |  Error Rate: 1.60%    |  Real True Rate: 25.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.67%  |  Length 110% rate: 37.09%   |
Iteration 40000     |  Loss: 0.77605206  |  Test Loss: 0.74816716  |  Test Acc: 66.13%   |  Error Rate: 1.40%    |  Real True Rate: 24.30%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.88%  |  Length 110% rate: 35.90%   |
Model saved at iteration 40000
Iteration 40500     |  Loss: 0.76177788  |  Test Loss: 0.75151926  |  Test Acc: 65.99%   |  Error Rate: 1.30%    |  Real True Rate: 24.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.18%  |  Length 110% rate: 35.56%   |
Iteration 41000     |  Loss: 0.77537096  |  Test Loss: 0.74884737  |  Test Acc: 66.39%   |  Error Rate: 1.20%    |  Real True Rate: 24.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.54%  |  Length 110% rate: 38.46%   |
Iteration 41500     |  Loss: 0.73600131  |  Test Loss: 0.74777180  |  Test Acc: 66.29%   |  Error Rate: 1.20%    |  Real True Rate: 24.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.13%  |  Length 110% rate: 35.83%   |
Iteration 42000     |  Loss: 0.76782697  |  Test Loss: 0.74982131  |  Test Acc: 66.04%   |  Error Rate: 1.90%    |  Real True Rate: 25.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.80%  |  Length 110% rate: 36.60%   |
Iteration 42500     |  Loss: 0.73160863  |  Test Loss: 0.74863923  |  Test Acc: 65.96%   |  Error Rate: 1.10%    |  Real True Rate: 23.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.04%  |  Length 110% rate: 35.19%   |
Iteration 43000     |  Loss: 0.79156810  |  Test Loss: 0.74491125  |  Test Acc: 66.24%   |  Error Rate: 0.80%    |  Real True Rate: 25.30%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.59%  |  Length 110% rate: 36.39%   |
Iteration 43500     |  Loss: 0.73600316  |  Test Loss: 0.74832541  |  Test Acc: 66.22%   |  Error Rate: 1.40%    |  Real True Rate: 24.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.68%  |  Length 110% rate: 36.71%   |
Iteration 44000     |  Loss: 0.74878490  |  Test Loss: 0.74427706  |  Test Acc: 66.21%   |  Error Rate: 1.20%    |  Real True Rate: 24.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.77%  |  Length 110% rate: 35.73%   |
Iteration 44500     |  Loss: 0.75816727  |  Test Loss: 0.74719304  |  Test Acc: 66.38%   |  Error Rate: 1.10%    |  Real True Rate: 24.50%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.94%  |  Length 110% rate: 36.20%   |
Iteration 45000     |  Loss: 0.75306499  |  Test Loss: 0.74487495  |  Test Acc: 66.38%   |  Error Rate: 0.40%    |  Real True Rate: 25.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.59%  |  Length 110% rate: 36.14%   |
Iteration 45500     |  Loss: 0.73334342  |  Test Loss: 0.74690998  |  Test Acc: 66.38%   |  Error Rate: 0.90%    |  Real True Rate: 24.60%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.85%  |  Length 110% rate: 35.92%   |
Iteration 46000     |  Loss: 0.79534411  |  Test Loss: 0.74417567  |  Test Acc: 66.01%   |  Error Rate: 0.90%    |  Real True Rate: 23.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.22%  |  Length 110% rate: 35.32%   |
Iteration 46500     |  Loss: 0.78710091  |  Test Loss: 0.74557567  |  Test Acc: 66.05%   |  Error Rate: 0.90%    |  Real True Rate: 24.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.95%  |  Length 110% rate: 35.32%   |
Iteration 47000     |  Loss: 0.71728611  |  Test Loss: 0.74357760  |  Test Acc: 66.23%   |  Error Rate: 0.60%    |  Real True Rate: 24.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.06%  |  Length 110% rate: 35.61%   |
Iteration 47500     |  Loss: 0.78820866  |  Test Loss: 0.74522370  |  Test Acc: 66.18%   |  Error Rate: 0.70%    |  Real True Rate: 24.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.00%  |  Length 110% rate: 35.65%   |
Iteration 48000     |  Loss: 0.75005859  |  Test Loss: 0.74345857  |  Test Acc: 66.18%   |  Error Rate: 0.60%    |  Real True Rate: 24.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.10%  |  Length 110% rate: 35.51%   |
Iteration 48500     |  Loss: 0.76759619  |  Test Loss: 0.74472332  |  Test Acc: 66.24%   |  Error Rate: 0.50%    |  Real True Rate: 24.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.02%  |  Length 110% rate: 35.78%   |
Iteration 49000     |  Loss: 0.75232309  |  Test Loss: 0.74406040  |  Test Acc: 66.27%   |  Error Rate: 0.60%    |  Real True Rate: 23.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.11%  |  Length 110% rate: 35.11%   |
Iteration 49500     |  Loss: 0.72517091  |  Test Loss: 0.74440199  |  Test Acc: 66.33%   |  Error Rate: 0.40%    |  Real True Rate: 23.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.01%  |  Length 110% rate: 35.64%   |
Iteration 50000     |  Loss: 0.75284672  |  Test Loss: 0.74431545  |  Test Acc: 66.32%   |  Error Rate: 0.40%    |  Real True Rate: 24.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.02%  |  Length 110% rate: 35.64%   |
Model saved at iteration 50000
Training finished in 11.0 hours 27.0 minutes 50.823989391326904 seconds
